stack,attack_mode,perturbation_budget,force_escalation_fraction,load_multiplier,total_arrival_rate_per_s,expensive_service_rate_per_s,escalated_arrival_rate_per_s,expensive_utilization,strategy,queue_stable,resource_bound_preserved,fail_closed_safety_semantics_preserved,ordinary_response_fraction,defer_reject_fraction,expensive_bypass_fraction
rule_compact_to_qwen,synthetic_route_pressure,0.1,1.0,1.5,2.414393773388551,0.6762076224825601,2.414393773388551,1.0,fail_closed_defer_reject,True,True,True,0.2800734618916436,0.7199265381083564,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.1,1.0,2.0,3.2191916978514015,0.6762076224825601,3.2191916978514015,4.760655737704919,fail_open_budget_cap,True,True,False,1.0,0.0,0.7899449035812673
rule_compact_to_qwen,synthetic_route_pressure,0.1,1.0,2.0,3.2191916978514015,0.6762076224825601,3.2191916978514015,4.760655737704919,fail_closed_no_admission,False,False,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.1,1.0,2.0,3.2191916978514015,0.6762076224825601,3.2191916978514015,1.0,fail_closed_defer_reject,True,True,True,0.21005509641873266,0.7899449035812673,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,0.5,0.8047979244628504,0.6762076224825601,0.8047979244628504,1.1901639344262298,fail_open_budget_cap,True,True,False,1.0,0.0,0.15977961432506907
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,0.5,0.8047979244628504,0.6762076224825601,0.8047979244628504,1.1901639344262298,fail_closed_no_admission,False,False,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,0.5,0.8047979244628504,0.6762076224825601,0.8047979244628504,1.0,fail_closed_defer_reject,True,True,True,0.840220385674931,0.15977961432506907,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,1.0,1.6095958489257007,0.6762076224825601,1.6095958489257007,2.3803278688524596,fail_open_budget_cap,True,True,False,1.0,0.0,0.5798898071625346
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,1.0,1.6095958489257007,0.6762076224825601,1.6095958489257007,2.3803278688524596,fail_closed_no_admission,False,False,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,1.0,1.6095958489257007,0.6762076224825601,1.6095958489257007,1.0,fail_closed_defer_reject,True,True,True,0.4201101928374654,0.5798898071625346,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,1.25,2.011994811157126,0.6762076224825601,2.011994811157126,2.9754098360655745,fail_open_budget_cap,True,True,False,1.0,0.0,0.6639118457300277
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,1.25,2.011994811157126,0.6762076224825601,2.011994811157126,2.9754098360655745,fail_closed_no_admission,False,False,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,1.25,2.011994811157126,0.6762076224825601,2.011994811157126,1.0,fail_closed_defer_reject,True,True,True,0.3360881542699723,0.6639118457300277,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,1.5,2.414393773388551,0.6762076224825601,2.414393773388551,3.5704918032786894,fail_open_budget_cap,True,True,False,1.0,0.0,0.7199265381083564
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,1.5,2.414393773388551,0.6762076224825601,2.414393773388551,3.5704918032786894,fail_closed_no_admission,False,False,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,1.5,2.414393773388551,0.6762076224825601,2.414393773388551,1.0,fail_closed_defer_reject,True,True,True,0.2800734618916436,0.7199265381083564,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,2.0,3.2191916978514015,0.6762076224825601,3.2191916978514015,4.760655737704919,fail_open_budget_cap,True,True,False,1.0,0.0,0.7899449035812673
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,2.0,3.2191916978514015,0.6762076224825601,3.2191916978514015,4.760655737704919,fail_closed_no_admission,False,False,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.25,1.0,2.0,3.2191916978514015,0.6762076224825601,3.2191916978514015,1.0,fail_closed_defer_reject,True,True,True,0.21005509641873266,0.7899449035812673,0.0
rule_compact_to_qwen,worst_case_all_escalate,,1.0,0.5,0.8047979244628504,0.6762076224825601,0.8047979244628504,1.1901639344262298,fail_open_budget_cap,True,True,False,1.0,0.0,0.15977961432506907
rule_compact_to_qwen,worst_case_all_escalate,,1.0,0.5,0.8047979244628504,0.6762076224825601,0.8047979244628504,1.1901639344262298,fail_closed_no_admission,False,False,True,1.0,0.0,0.0
rule_compact_to_qwen,worst_case_all_escalate,,1.0,0.5,0.8047979244628504,0.6762076224825601,0.8047979244628504,1.0,fail_closed_defer_reject,True,True,True,0.840220385674931,0.15977961432506907,0.0
